x1	y1	x2	y2
1270	835	1314	872	44
1235	858	1262	881	27
1234	883	1268	910	34
1216	888	1255	925	39
1211	917	1260	948	49
1112	894	1145	921	33
1067	956	1096	975	29
1103	995	1138	1022	35
1236	976	1258	1001	22
1267	1045	1307	1085	40
1287	1128	1320	1157	33
1116	1082	1155	1117	39
1140	1069	1170	1092	30
1100	1106	1127	1128	27
1111	1050	1159	1093	48
1031	1048	1064	1080	33
1009	1015	1056	1045	47
978	1026	1024	1062	46
986	1089	1009	1129	23
979	1015	1000	1044	21
991	904	1019	930	28
1025	890	1056	919	31
1049	878	1080	908	31
1081	852	1110	877	29
1087	876	1113	895	26
1095	880	1132	903	37
1061	796	1100	837	39
1004	836	1035	862	31
1046	777	1072	802	26
1019	751	1078	783	59
1036	707	1099	741	63
1085	718	1118	748	33
1135	721	1170	760	35
1184	663	1218	701	34
1196	646	1233	680	37
1240	635	1271	663	31
1237	645	1278	674	41
1136	834	1173	867	37
1155	820	1203	846	48
1155	796	1183	823	28
1173	797	1209	823	36
1204	783	1242	817	38
1274	746	1307	779	33
1287	768	1323	803	36
1315	707	1349	736	34
1329	669	1365	694	36
1176	617	1205	646	29
1033	596	1064	623	31
961	696	995	722	34
1395	624	1436	659	41
1520	637	1562	674	42
1510	650	1542	677	32
1537	606	1573	646	36
1496	700	1525	737	29
1560	721	1588	744	28
1566	707	1591	731	25
1579	733	1598	764	19
1000	568	1031	604	31
1226	556	1261	598	35
1235	552	1280	592	45
1262	558	1303	602	41
1286	554	1322	598	36
1372	552	1415	594	43
1378	579	1404	600	26
1406	588	1441	615	35
1380	602	1418	634	38
1411	560	1457	589	46
1515	574	1537	608	22
1449	465	1479	494	30
1414	500	1459	535	45
1417	501	1439	526	22
1512	511	1546	532	34
1544	516	1571	537	27
1572	491	1601	516	29
1563	564	1594	598	31
1118	488	1146	515	28
1143	440	1182	482	39
1189	442	1240	479	51
1265	432	1304	473	39
1288	497	1322	536	34
1358	448	1393	477	35
1379	437	1412	466	33
1509	448	1534	475	25
1532	438	1563	470	31
1550	392	1584	416	34
1457	322	1492	352	35
1440	323	1470	350	30
1494	277	1520	307	26
1515	301	1545	331	30
1401	302	1434	331	33
1366	394	1393	420	27
1261	396	1289	425	28
1315	313	1345	350	30
1392	344	1424	374	32
1495	229	1525	256	30
1094	398	1138	425	44
1184	403	1213	425	29
1013	345	1039	385	26
1090	348	1113	370	23
1072	390	1105	416	33
1105	313	1130	340	25
1128	293	1160	316	32
1189	301	1225	345	36
1244	299	1274	320	30
1218	246	1245	277	27
1097	249	1121	276	24
1083	263	1110	289	27
1061	267	1103	294	42
963	224	1005	249	42
983	235	1026	266	43
1320	233	1348	254	28
884	108	915	140	31
1022	86	1064	114	42
1047	32	1086	68	39
1035	46	1070	72	35
1056	55	1086	88	30
1160	57	1203	89	43
1167	77	1205	105	38
1191	66	1223	91	32
1222	51	1281	90	59
1254	94	1291	116	37
1157	134	1182	159	25
1149	149	1183	176	34
1117	100	1148	125	31
1083	165	1113	198	30
1111	204	1135	234	24
1204	141	1235	174	31
1257	207	1293	246	36
1301	155	1322	182	21
1350	114	1401	158	51
1370	135	1398	187	28
1406	174	1436	211	30
1427	158	1467	194	40
1329	49	1374	92	45
1342	18	1374	55	32
1325	97	1364	126	39
1387	30	1417	52	30
1485	13	1512	35	27
1586	0	1600	41	14
1500	64	1555	87	55
1508	88	1547	119	39
1405	102	1440	130	35
995	-1	1020	13	25
1069	0	1089	15	20
1091	-1	1115	13	24
1136	0	1175	13	39
1214	0	1243	11	29
883	51	912	75	29
1294	948	1326	969	32
